"UniqueID","obs","pred","fold","pred_bin","obs_bin","ecoregion"
"Agne_M_H_1",1,0.98987019979015,7,5,5,"Central-Southern Cascades Forests"
"Agne_M_H_1",1,0.98987019979015,7,5,5,"Central-Southern Cascades Forests"
"Agne_M_H_3",1,0.985842832927304,7,5,5,"Central-Southern Cascades Forests"
"Agne_M_H_3",1,0.985842832927304,7,5,5,"Central-Southern Cascades Forests"
"Agne_M_H_4",1,0.779329110078753,7,4,5,"Eastern Cascades forests"
"Agne_M_H_4",1,0.779329110078753,7,4,5,"Eastern Cascades forests"
"Agne_M_H_5",1,0.918568226503243,7,5,5,"Central-Southern Cascades Forests"
"Agne_M_H_5",1,0.918568226503243,7,5,5,"Central-Southern Cascades Forests"
"Agne_M_H_6B",1,0.99250434854259,7,5,5,"Eastern Cascades forests"
"Agne_M_H_6B",1,0.99250434854259,7,5,5,"Eastern Cascades forests"
"Agne_M_L_1B",0.320276607252174,0.456957476811599,7,2,2,"Central-Southern Cascades Forests"
"Agne_M_L_1B",0.320276607252174,0.456957476811599,7,2,2,"Central-Southern Cascades Forests"
"Agne_M_L_3B",0.163847575415532,0.339311412709748,7,2,1,"Central-Southern Cascades Forests"
"Agne_M_L_3B",0.163847575415532,0.339311412709748,7,2,1,"Central-Southern Cascades Forests"
"Agne_M_L_4",0.21522712684357,0.306777256973626,7,2,1,"Central-Southern Cascades Forests"
"Agne_M_L_4",0.21522712684357,0.306777256973626,7,2,1,"Central-Southern Cascades Forests"
"Agne_M_L_6",0.222037713024372,0.38967618801202,7,2,1,"Eastern Cascades forests"
"Agne_M_L_6",0.222037713024372,0.38967618801202,7,2,1,"Eastern Cascades forests"
"Agne_M_L_6B",0.027565573132236,0.312587400744513,7,2,1,"Central-Southern Cascades Forests"
"Agne_M_L_6B",0.027565573132236,0.312587400744513,7,2,1,"Central-Southern Cascades Forests"
"Agne_M_M_1",1,0.933283626377104,7,5,5,"Central-Southern Cascades Forests"
"Agne_M_M_1",1,0.933283626377104,7,5,5,"Central-Southern Cascades Forests"
"Agne_M_M_3",1,0.96636111063881,7,5,5,"Central-Southern Cascades Forests"
"Agne_M_M_3",1,0.96636111063881,7,5,5,"Central-Southern Cascades Forests"
"Agne_M_M_4",1,0.797327906342424,7,4,5,"Eastern Cascades forests"
"Agne_M_M_4",1,0.797327906342424,7,4,5,"Eastern Cascades forests"
"Agne_M_M_5",1,0.795946074159901,7,4,5,"Central-Southern Cascades Forests"
"Agne_M_M_5",1,0.795946074159901,7,4,5,"Central-Southern Cascades Forests"
"Agne_M_M_6",0.752689421897793,0.852532748779789,7,4,4,"Central-Southern Cascades Forests"
"Agne_M_M_6",0.752689421897793,0.852532748779789,7,4,4,"Central-Southern Cascades Forests"
"Agne_M_U_5",0,0.345622930284051,7,2,1,"Central-Southern Cascades Forests"
"Agne_M_U_5",0,0.345622930284051,7,2,1,"Central-Southern Cascades Forests"
"Agne_M_U_6",0,0.31785667281644,7,2,1,"Central-Southern Cascades Forests"
"Agne_M_U_6",0,0.31785667281644,7,2,1,"Central-Southern Cascades Forests"
"Andrus_EF01",1,0.691108878690845,3,3,5,"Colorado Rockies forests"
"Andrus_EF01",1,0.691108878690845,3,3,5,"Colorado Rockies forests"
"Andrus_EF02",0.44446325770403,0.317957367379497,3,2,2,"Colorado Rockies forests"
"Andrus_EF02",0.44446325770403,0.317957367379497,3,2,2,"Colorado Rockies forests"
"Andrus_EF03",0.381044008906237,0.385252280108675,3,2,2,"Colorado Rockies forests"
"Andrus_EF03",0.381044008906237,0.385252280108675,3,2,2,"Colorado Rockies forests"
"Andrus_EF04",0.89849268186121,0.5817262205894,3,3,4,"Colorado Rockies forests"
"Andrus_EF04",0.89849268186121,0.5817262205894,3,3,4,"Colorado Rockies forests"
"Andrus_EF05",1,0.651680383764009,3,3,5,"Colorado Rockies forests"
"Andrus_EF05",1,0.651680383764009,3,3,5,"Colorado Rockies forests"
"Andrus_EF06",0.873650714419417,0.72916732132108,3,3,4,"Colorado Rockies forests"
"Andrus_EF06",0.873650714419417,0.72916732132108,3,3,4,"Colorado Rockies forests"
"Andrus_EF07",1,0.935192833466642,3,5,5,"Colorado Rockies forests"
"Andrus_EF07",1,0.935192833466642,3,5,5,"Colorado Rockies forests"
"Andrus_EF08",0.940301257542955,0.690373186949403,3,3,5,"Colorado Rockies forests"
"Andrus_EF08",0.940301257542955,0.690373186949403,3,3,5,"Colorado Rockies forests"
"Andrus_EF09",1,0.927804312616728,3,5,5,"Colorado Rockies forests"
"Andrus_EF09",1,0.927804312616728,3,5,5,"Colorado Rockies forests"
"Andrus_LS01",0.406123490389522,0.135548084626195,3,1,2,"Colorado Rockies forests"
"Andrus_LS01",0.406123490389522,0.135548084626195,3,1,2,"Colorado Rockies forests"
"Andrus_LS02",0.959720372836218,0.480911485798255,3,2,5,"Colorado Rockies forests"
